Epoch,Best Candidate,Mean Fitness,
953,661,584.122,
954,661,577.952,
955,661,578.386,
956,661,583.644,
957,661,585.454,
958,661,584.658,
959,661,582.784,
960,661,577.2,
961,661,579.764,
962,661,578.224,
963,661,581.216,
964,661,589.104,
965,661,583.06,
966,661,591.612,
967,661,585.272,
968,661,586.374,
969,661,587.154,
970,661,589.144,
971,661,587.524,
972,661,588.772,
973,661,582.246,
974,661,588.628,
975,661,589.072,
976,661,585.13,
977,661,592.174,
978,661,586.79,
979,661,588.976,
980,661,586.25,
981,661,590.572,
982,661,589.366,
983,661,587.31,
984,661,589.654,
985,661,595.504,
986,661,595.858,
987,661,587.144,
988,661,584.01,
989,661,583.792,
990,661,581.694,
991,661,580.308,
992,661,575.086,
993,661,572.214,
994,661,572.642,
995,661,574.334,
996,661,574.746,
997,661,577.28,
998,661,578.82,
999,661,581.936,
1000,661,577.562,
1001,661,589.108,
1002,661,582.702,
1003,661,581.428,
1004,661,587.63,
1005,661,583.936,
1006,661,587.334,
1007,661,586.984,
1008,661,595.38,
1009,661,590.258,
1010,661,592.946,
1011,661,588.214,
1012,661,589.928,
1013,661,590.018,
1014,661,586.976,
1015,661,588.5,
1016,661,580.522,
1017,661,587.612,
1018,661,580.286,
1019,661,581.354,
1020,661,582.766,
1021,661,588.912,
1022,661,583.06,
1023,661,580.742,
1024,661,583.93,
1025,661,581.152,
1026,661,585.928,
1027,661,594.5,
1028,661,594.97,
1029,661,591.984,
1030,661,593.648,
1031,661,599.232,
1032,661,592.606,
1033,661,593.968,
1034,661,596.956,
1035,661,593.528,
1036,661,590.764,
1037,661,598.722,
1038,661,591.714,
1039,661,590.672,
1040,661,594.048,
1041,661,589.728,
1042,661,588.084,
1043,661,591.514,
1044,661,591.094,
1045,661,590.092,
1046,661,587.322,
1047,661,589.316,
1048,661,591.52,
1049,661,592.326,
1050,661,591.414,
1051,661,597.17,
1052,661,593.374,
1053,661,592.032,
1054,661,590.718,
1055,661,589.366,
1056,661,584.308,
1057,661,583.118,
1058,661,580.436,
1059,661,589.504,
1060,661,590.468,
1061,661,591.474,
1062,661,589.596,
1063,661,584.992,
1064,661,586.088,
1065,661,591.3,
1066,661,584.822,
1067,661,584.574,
1068,661,584.548,
1069,661,584.474,
1070,661,584.38,
1071,661,589.47,
1072,661,584.262,
1073,661,584.304,
1074,661,585.674,
1075,661,585.69,
1076,661,588.69,
1077,661,580.876,
1078,661,583.458,
1079,661,589.116,
1080,661,588.344,
1081,661,583.918,
1082,661,583.926,
1083,661,586.972,
1084,661,585.346,
1085,661,584.624,
1086,661,586.584,
1087,661,590.37,
1088,661,592.408,
1089,661,590.236,
1090,661,592.088,
1091,661,592.336,
1092,661,589.342,
1093,662,590.848,
1094,662,596.532,
1095,662,593.144,
1096,662,595.182,
1097,662,591.26,
1098,662,590.612,
1099,662,593.678,
1100,662,589.66,
1101,662,584.314,
1102,662,584.884,
1103,662,587.792,
1104,662,588.194,
1105,662,589.122,
1106,662,591.164,
1107,662,591.448,
1108,662,590.538,
1109,662,590.918,
1110,662,591.126,
